#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
遂	半身不__, 不__, __川, __心
铅	__笔, __垂线, __字, __丝
啄	__食
婆	老__, __姨, 外__, 老太__
廉	__政, __洁, __价, 清__
父	__亲, __母, 师__, __子
慌	惊__, __忙, 恐__, __乱
族	民__, 少数民__, 氏__, 中华民__
虎	老__, __口, 伏__, 培__
法	方__, 办__, 无__, __律
赔	__偿, __钱, __礼, __款
剖	解__, __析, 解__学, __开
瑚	珊__
诤	__友
荠	__菜, 荸__
恢	__复, 子__, 天网____, __宏
蓖	__子
滩	沙__, 上海__, 浅__, 外__
轨	__道, 无__, __迹, 转__
叫	名__, __做, 呼__, 惊__
豪	自__, __华, __爽, __迈
热	__情, __烈, __闹, __河
公	__司, 办__室, __开, __民
闯	__入, __荡, __进, 走南__北
曰	名__, 美其名__
孰	__料, __能无情
莒	__县
扶	__持, __贫, __手, __植
曹	__县
读	__者, __书, 阅__, 攻__
摺	火__子, 火__
楼	__房, __梯, __上, __下
擒	__拿, 束手就__
湾	台__, 海__, 大牙__, 龙家__
刁	__民, __楼村, __滑, __钻
葩	奇__
圃	芝__, 振__
邂	__逅
琅	琳__满目, 珐__, 珐__质, __琊乡
善	改__, 完__, __于, __琨
备	准__, 设__, 具__, 军__
骆	__驼
很	__多, __快, __难说, __少
飕	凉____, 寒____
妖	__魔, __魔鬼怪, __精, __人
耍	玩__, 戏__, __弄, 好__
漓	大汗淋__
聂	__斯托利
谕	上__, 宣__
趔	__趄
搂	__抱
鞘	刀__
笛	汽__, 牧__, __卡尔, __木乃
逛	闲__, 游__
庞	__大, 脸__, __然大物, 面__
掠	__过, __夺, 浮光__影
肢	四__, __体, 下__, 胳__窝
营	经__, __养, 国__, __业
斤	公__, 千__, ____计较, 九__
温	__度, __柔, __暖, __泉
侨	华__, __民, __胞, 归__
猫	__子, __眼, __咪, __头鹰
穆	__斯林, 小__, __罕默德, __生
倭	__寇
冬	__天, __季, __菇, 寒__
唯	__一, __有, __恐, __独
皮	__肤, __带, __质, 头__
娱	__乐, __乐性, 文__
宰	主__, __相, 任人__割, __杀
嘟	__囔, 呜哩呜__, __哝, __嚷
枸	__杞, __木
栽	盆__, __培, __种, __赃
贿	__赂, 受__, 索__, 行__
珀	__尔, 章__, 戈斯__, 琥__
届	十一__, 历__, 上__, 下__
奇	__怪, 少__, __迹, 惊__
嫆	戊__
鹉	鹦__
霰	__弹
糊	模__, __涂, 一塌__涂, 含含____
恍	__然大悟, __然, __惚, __如
敏	__感, 灵__, 阿__, __锐
酌	__情, 字斟句__, 斟__
体	具__, 身__, __制, 主__
棒	棍__, 拳__, 木__, __子面
汕	__尾
藏	__花, 西__, 收__, __族
酗	__酒
缥	__缈
筛	__选, __糠
硝	__烟, 盐__地, __烟弥漫
姜	__汤, 生__
绞	__尽脑汁, __肉机, 心__痛, __车
菠	__菜
藤	佐__, __椅, 佐__孝行, 佐__忠良
筐	箩__
乩	扶__
俨	__然
卫	__生, 保__, __虹, __生间
泪	眼__, __水, __珠, __花
遭	__到, __受, __遇, 免__
镯	手__
目	__标, __的, __前, 项__
驱	__车, __逐, 先__, __使
寰	振__, 震__, 志__, 润__
巴	__黎, __勒斯坦, __格达, 黎__嫩
慷	__慨, 激昂__慨
璨	璀__
虹	长__, 卫__, 剑__, __桥
死	__亡, __者, __人, __去
衽	裣__
瘴	乌烟__气, __气
浔	__中, 南__, 南__镇
羁	__押, 放任不__, __绊
邃	深__
厅	客__, 大__, 餐__, 办公__
庇	__护, 荫__
蒋	老__
融	金__, __洽, 法__, __合
昌	武__, __盛, 南__, __济
谐	和__, 诙__, 调__
写	__作, __信, __道, 描__
倘	__若, __使, __佯
岛	胰__素, 青__, __主, 半__
莞	东__
帜	旗__, 旗__鲜明
窟	__窿, 冰__, 狡兔三__, 石__
斡	__旋, 达__尔, 达__尔族
患	__者, __有, __病, 忧__
澧	__县
接	直__, __受, __着, __触
产	生__, __品, __生, __业
账	__户, 转__, 结__, 不买__
咫	__尺, 近在__尺
汪	水____, 一片__洋, __洋
鞭	__炮, __子, __炮声, 快马加__
犯	__罪, __罪分子, 罪__, 侵__
厉	__害, 严__, __声, 凄__
碳	二氧化__, 一氧化__, __酸钙, __素
玲	__珑, __玉, 小__, __凤
宵	元__节, 通__, 通__达旦, 夜__
娴	__熟, __静, __淑, __雅
收	__入, __到, 吸__, 接__
耸	__立, 高__, 危言__听, ____肩
治	政__, __安, __理, 自__区
挺	__拔, __进, 坚__, __胸
辽	__宁, __宁省, 幅员__阔, __河
呀	哎__, 啊__, 吱__, ____咿咿
织	组__, 组__部, 党组__, 纺__
秉	__乾, __毅, __三, __彝
晌	半__, 下__, 后__, __午
苏	__联, 复__, 江__, __南
慎	__重, 谨__, 不__, 审__
跑	逃__, 奔__, __步, 长__
试	考__, __验, 测__, __探
盗	__窃, 强__, __贼, 防__
镖	保__, __局, 梭__, __头
龊	龌__
博	__士, __物馆, __得, 赌__
姻	婚__, 婚__法, __缘, 联__
竟	究__, 毕__, __然, __是
神	精__, __秘, __情, 精__文明
韭	__菜
浦	老__, __东, 黄__江, 南__
表	__示, __现, 代__, __明
歪	__曲, __斜, ____扭扭, 东倒西__
短	缩__, __缺, __期, __语
噬	吞__, __菌体
煮	__沸, __饭
己	自__, 知__, 身不由__, 异__
壳	蛋__, 外__, 鸡蛋__, 地__
署	部__, 签__, 出版__, 审计__
婴	__儿, 弃__, __幼儿, 女__
恸	__哭, 悲__
泻	一__千里, 倾__, 腹__, 奔__
捺	按__不住
追	__求, __究, __问, __赶
倔	__强
锁	封__, 连__店, 枷__, 铁__
咀	__嚼
逃	__跑, __避, __走, __离
垂	__钓, __直, 悬__, __头丧气
包	__括, __含, 承__, __袱
粗	__糙, __暴, __大, __野
嵌	镶__, __入
颈	脖__, __椎, __项, 长__鹿
服	__务, 衣__, __装, 克__
蚌	__壳
戏	游__, __剧, 嬉__, 演__
酬	报__, 应__, 稿__, 壮志未__
沐	__浴, __荪
栓	螺__, __塞, 脑血__, 血__
鄙	__人, 卑__, __俗, __视
厚	深__, 浓__, 雄__, __度
缝	裂__, __隙, __合, 裁__
府	政__, 人民政__, 市政__, 申__
娟	梅__, 瑞__, 丽__, 惠__
黄	__色, __埔, __河, __昏
蔡	__林记
枢	中__, __纽, 水利__纽, 铭__
挥	发__, 指__, 指__部, __霍
护	保__, 维__, __士, 爱__
丧	__失, 沮__, __偶, __葬
润	利__, 湿__, __滑油, 红__
穰	__都
梨	__花, __树
含	包__, __义, __有, __量
讪	搭__, __笑
霭	暮__
羲	伏__, 伏__氏
熹	朱__
悸	心有余__, 心__, __动
掺	__杂, __和
伽	__利略, __功, __卫城, 多陀阿__陀
赴	奔__, __约, 全力以__, 分__
啁	__啾
哀	悲__, __伤, __悼, __求
偃	__旗息鼓
埂	田__
寇	日__, 倭__
狄	北__, __克逊, __拉克, __仁杰
奉	__献, 信__, 无私__献, __命
浑	__身, __然一体, __然, ____噩噩
囹	身陷__圄
桓	荣__, 盘__
濒	__临
噗	__哧, __嗤, ____答答
馥	兰__, __郁
彝	__族, __良, 秉__
络	网__, 联__, __绎不绝, 网__化
慑	威__, __服, 震__
恣	__意
葺	修__
钧	伯__, 千__一发, __儒, __剑
淦	贻__, __昌
裨	大有__益
鑫	纪__
副	__官, 农__产品, __食, 名__其实
燮	__培, __林
峰	云__, 高__, 山__, 海__
豁	__然开朗, __达, __然, __免
时	__间, __候, 同__, 当__
腹	__部, 空__, __地, __胀
胸	__脯, __前, __中, __部
乾	秉__, __隆, __坤, 丙__
载	记__, __体, __入, 承__
身	__体, __上, 本__, 自__
囔	嘟__
销	__售, 推__, 撤__, 注__
阂	隔__
徇	__私枉法
将	__军, 即__, __来, 必__
颉	仓__
斋	书__, 五芳__, 厚__, __戒
漶	漫__
掏	__钱, __空, __腰包
怎	__么, __样, __么办, __么样
炙	脍__人口, 残羹冷__, __手可热
焘	国__, 拓跋__
刚	__才, 玉__, __性, __好
缜	__密
驷	__马难追
报	__纸, __告, __道, 情__
挤	拥__, __出, __满, __压
侧	__面, 左__, __重, 两__
谦	__之, __虚, __和, __逊
殡	出__, __葬
窸	__窣
疫	免__, 防__, 检__, 瘟__
横	__向, 纵__, __穿, __卧
环	__境, 循__, __节, 花__
逮	__捕
粱	高__, __孙庄
踉	__跄, ____跄跄
锲	__而不舍
枷	__锁
澈	清__, 明__, 澄__
脸	__上, __色, 满__, 笑__
嗞	__里叭啦
呕	__心沥血, __吐, 令人作__
似	__乎, __的, 类__, 相__
访	__问, 采__, 来__, 出__
栾	__玉
品	产__, 商__, 作__, 商__经济
镀	电__, __金, ____金
燃	__烧, 点__, __料, __起
棠	海__, 富__, 棣__, 海__花
奈	无__, 无可__何, 列士巴__, 叵__
旋	__转, 周__, __律, __风
婊	__子养的, __子
描	__述, __写, __绘, 扫__
赐	恩__, __予, 御__, 赏__
乒	__乓球, __乓球队, __乓, __乓球赛
矗	__立
烙	__印, __饼
皎	__洁
绝	__对, __不, 拒__, __大多数
察	观__, 考__, 警__, 侦__员
塞	堵__, 阿__拜疆, 布鲁__尔, __外
灏	明__
臣	佐__, 大__, 功__, 外交大__
夺	争__, __取, __得, 掠__
拥	__有, __护, __挤, __抱
牧	__师, __区, 放__员, __场
滕	__黄
嗫	__嚅
园	公__, 校__, 花__, 幼儿__
缓	__解, __和, __慢, 刻不容__
可	__以, __能, __是, 不__
遮	__住, __挡, __掩, __盖
干	__部, 若__, __什么, __净
惹	招__, 斐兹杰__, 不好__, 如斐兹杰__
添	增__, __加, __置, 平__
艺	__术, 工__, 文__, __术家
份	身__, 成__, 股__, 股__制
硫	二氧化__, __磺, __酸, __酸铜
诿	推__
吁	呼__, 气喘____, 气____
喀	__儿, __嚓, __尔__, 宗__巴
皂	肥__, __白, 肥__粉, 青红__白
厄	__运
馈	反__, __赠
茏	葱__
民	人__, __族, 农__, 人__政府
阙	神__穴, __如
褓	襁__
互	相__, __相, 相__作用, __助
咖	__啡, __啡色, 雀巢__啡
候	时__, 这时__, 气__, 等__
崛	__起
靡	风__, 萎__不振, 所向披__
帝	皇__, 上__, __国主义, 黄__
鬟	丫__
增	__加, __长, __强, __多
酱	__油, __菜, 辣__, 油盐__醋
愣	__住, 发__, 直____, __神
沦	__陷, 沉__, __落, __丧
栩	____如生
榨	__取, __菜
甫	君__, 皇__, 杜__, 弄__
瞬	__间, 一__间, __息万变, __时
邮	__票, 集__, __品, __电
就	__是, __要, 早__, 成__
纲	__要, __领, 大__, 上__上线
宴	__会, 设__, 酒__, 婚__
蜷	__缩, __伏, __曲
活	__动, 生__, __跃, 灵__
丽	美__, 莎__, 梦__, 华__
滋	__味, __生, __润, 喜____
围	范__, 周__, __绕, __巾
元	美__, 公__, 单__, 日__
酊	酩__大醉
婷	小__, 娉娉____, 娉__, 文__
捏	__造
胎	__儿, 内__, 胚__, 轮__
比	__较, __如, __例, __赛
块	一__, 这__, 一__儿, 方__
孟	小__, __保, 孔__之道, __都
飞	__机, __行, __快, 起__
葡	__萄牙, __萄糖, __萄酒, __萄
无	__法, __论, __疑, 毫__
轧	冷__, 南__, __钢厂
衩	裤__
韬	__奋, 文__武略, 雄__大略, __略
卯	__兔, __年, __日, __时
山	__东, 中__, __区, 下__
踩	__水
女	__人, __儿, 妇__, 少__
辨	分__, 分__率, __别, __认
挫	__折, 受__, __伤, __败
阀	军__
沪	京__, 淞__, __剧, 京__线
内	__容, 国__, __部, 室__
觎	觊__
蓦	__地, __然
安	__排, __全, 治__, 延__
裣	__衽
萌	__发, __芽, __生, __动
茎	花__, 根__, 阴__
辑	编__, 逻__, 编__部, 编__学
渐	逐__, 日__, 高__离, 循序__进
誓	发__, 宣__, __言, 海__山盟
洒	潇__, 喷__, __脱, 挥__
榕	__树
锯	__末, __条, __齿
霖	作__, 甘__
刘	老__, __庄子, __家沙, 小__
焚	__烧, 心急如__, __尸炉, __毁
盛	华__顿, __行, 丰__, __夏
墟	废__, 殷__
缄	__默, 三__其口
映	反__, __红, 霞__, 放__
芣	芝__
祚	钟__
沧	__海, __桑, __州, __海一粟
伦	安__, 爱__, __敦, __理
让	转__, __步, __开, __给
樨	木__地
褪	__色
听	__到, __说, __见, 倾__
炯	____有神
献	贡__, 文__, 奉__, __身
媳	__妇, 儿__, 儿__妇, 婆__
破	__坏, 突__, 打__, __案
撷	__取
莹	晶__, 梅__
绔	纨__子弟
款	贷__, 存__, __式, __项
陀	佛__, 阿弥__佛, 头__区, 弥__
勃	蓬__, 兴致____, ____生机, 生机____
镂	__刻, __空, 雕__
俪	伉__
蛋	__白质, 鸡__, __壳, __白
嫣	__然一笑
捎	__带
近	最__, 附__, __年来, 接__
乐	音__, 快__, 娱__, 欢__
浒	水__
衔	__接, 军__, 佐__, 头__
哗	喧__, __啦, __啦啦, __然
靖	绥__, 曲__, __军
叙	__述, __利亚, __军, __事诗
绛	__霞
党	共产__, 国民__, __员, __中央
川	四__, 四__省, 山__, 芥__龙之介
食	__物, 粮__, __品, 膳__
拣	__到, 分__, 挑肥__瘦
敢	__于, 勇__, 不__当, __情
缛	繁文__节
恤	Ｔ__, 抚__, 抚__金
车	汽__, 火__, 自行__, 火__站
诩	自__
囫	__囵
睦	和__相处, __邻友好, 和__, __邻
闭	封__, 关__, __目, 封__式
烯	乙__
忱	热__, 辅__
鹰	__潭, 兀__, 猫头__, 雄__
戒	__备, __指, __严, 警__
蝶	蝴__, 飞__, __泳
任	__何, __务, 责__, 主__
腺	肾上__, 性__, 甲状__, 前列__
孑	茕茕__立, __农, __然一身
省	__委, 全__, 各__, __市
刃	迎__而解, 刀__, 兵__, 利__
喂	__养, __奶
涸	干__
算	计__机, 计__, __是, 预__
簇	__拥, __新, 花团锦__
嬉	__戏, __皮士, __闹, __水
窈	__窕
妊	__娠, __娠期
怏	____不乐
莎	__丽, 玛__, 美__, __士比亚
休	__息, 退__, 离退__, 不__
源	资__, 自然资__, 来__, 能__
烂	灿__, 破__, 海枯石__, __醉如泥
苓	多__
吗	干__
匙	钥__, 汤__, 钥__孔
帛	布__
渭	__南, __城, 泾__, __清
鲜	新__, 南朝__, 朝__, __明
实	__现, __际, __践, __施
蜡	__烛, 石__, 脱__, 叭__庙
渚	良__
肤	皮__, __色, 肌__, 皮__病
氧	二__化碳, 缺__, 二__化硫, __气
侦	__察员, __查, __破, __查员
瘫	截__, __痪, 偏__, __软
甭	__管
咬	__牙, __紧牙关, __合, __牙切齿
厮	__打
弱	薄__, 减__, 削__, 脆__
纰	__漏
稳	__定, __产, __步, __定性
碴	冰__, 拉__, __儿, __石
架	打__, 担__, 框__, 书__
茹	__倩, 亚__, 含辛__苦
芸	__香
主	__要, 社会__义, __体, __席
吞	__并, __噬, 侵__, __食
洽	融__, 公__, __谈, __谈会
沼	__泽, __气池, __泽地
设	建__, __计, __备, __施
睁	眼____
雀	孔__, 麻__, 鸦__无声, 门可罗__
剃	__头佬, __刀, __头, __须刀
泊	罗布__, 停__, 淡__, 湖__
充	__分, __满, 补__, __实
忆	回__, 记__, __红, 记__力
等	__于, 高__学校, __待, 平__
晋	__升, 魏__, __级, 东__
姊	__妹, 堂__妹, __妹篇
涣	__散
凌	__晨, __乱, __空, __厉
佑	保__, 元延__, 萱__
裔	后__, 华__
勘	__探, __察, __查, __测
糜	乳__, __集
寞	寂__, 不甘寂__, 落__
条	__件, __例, 纸__, 线__
扣	钮__, __除, 不折不__, __留
既	__然, __有, __定, 一如__往
腥	血__, __臭, 土__味, __味
胤	岩崎允__
迦	释__牟尼, 释__, __毗罗卫国, 协__牟尼
怦	__然, __然心动
啭	婉__
灯	__光, __火, __泡, __罩
叮	__嘱, __咛, ____当当, __当
影	__响, 电__, __子, 阴__
绰	__号, __约, 阔__, 影影____
驳	反__, 批__, 斑__, 辩__
已	__经, 早__, 而__, 不__
饵	钓__, 诱__, __料, 鱼__
豕	亥__
泼	活__, __辣, 撒__, __墨
课	__题, 功__, 上__, __程
需	__要, __求, 急__, 必__
瘪	干__
傅	师__
帆	一__风顺, __船, 扬__, 云__
鬈	__发
膏	石__, 唇__, 牙__, 民脂民__
戎	__装, 从__, 投笔从__
云	__南, __峰, __珠, __侠
伐	步__, 捷克斯洛__克, 采__, 北__
殓	收收__, 收__
嶂	层峦叠__
疗	医__, 治__, __效, 医__队
阖	纵横捭__, __家团圆
通	__过, 普__, 交__, __知
掣	风驰电__
肥	__胖, __皂, __大, 化__
愤	__怒, 气__, __慨, 义__
涧	__底泉
垫	床__, 坐__, 汽__船, 鞋__
株	植__, 菌__, __洲, __式会社
唬	吓__
刮	__目相看, __风, 搜__
纱	棉__, __布, __窗, 乔其__
茉	__莉花, __莉, __莉花茶, 紫__莉
害	厉__, __怕, 危__, 损__
头	__发, 点__, 石__, __脑
抹	涂__, __布, __煞, __掉
茸	毛____
贼	窃__, 盗__, __船, 做__心虚
雁	孤__, __荡, 双__, 大__
址	地__, 遗__, 住__, 坝__
兄	__弟, 师__, 弟__, 小__弟
叠	__韵, __加, 折__, 重__
嫉	__妒
蟋	__蟀
操	__作, __纵, 情__, __作员
敌	__人, __对, 人__, 投__
扎	挣__, __实, ____实实, __根
仑	__召, 昆都__河, 拿破__, 昆__
佐	__臣, __良, __料, __证
毓	__奎, __秀
裕	__禄, 富__, 宽__, 优__
癖	怪__, 恶__, 洁__, __好
狙	__击
做	__好, __到, __出, __法
鳝	__鱼
鼠	老__, 黄__狼, 子__, 松__
租	地__, __界, __金, 出__车
杠	__杆, 双__, 敲竹__, 高低__
揣	__测, __摩
渺	__茫, __小, 烟波浩__, 虚无飘__
胥	赫__黎, 鲍格__
书	__记, 读__, 总__记, 证__
芽	萌__, 豆__, 麦__, 嫩__
矫	__健, __正, __捷
哭	__声, __笑不得, 啼__, __泣
啬	吝__, 吝__鬼
凯	__默, __丽, __诺, 世__
彰	表__, __化, 相得益__, 表__会
奴	__婢, __隶, 亡国__, 农__
旷	心__神怡, 空__, __野, __课
晶	再结__, __粒, __莹, 结__
苹	__果, 蓝__, __果绿, __果酱
荸	__荠
恺	仲__
泽	__东, __民, 玉__, 毛__东思想
阁	内__, __楼, 组__, 藏经__
壁	墙__, 隔__, __挂, __画
咂	__巴
逅	邂__
熄	__灭, __火, __灯, __灯号
崇	__拜, __敬, __高, __拜者
庆	晓__, 重__, 志__, 大__
娉	____婷婷, __婷
守	__凤, 遵__, 保__, __法
朋	__友, 男__友, 女__友, 老__友
颊	脸__, 面__
萍	祖__, 爱__, 浮__, 慧__
斌	志__, 占__, 尚__
脏	心__, 心__病, 内__, 肮__
丑	__陋, __恶, 出__, __牛
辐	__射, __条
蠕	__动, __变
榔	__头
耻	无__, __辱, 可__, 国__
则	原__, 否__, 规__, 准__
厘	__米, 沙__笃
弛	松__
尝	__试, 品__, 未__, 何__
够	能__, 不__, 足__, __呛
媞	__莉亚
橱	__窗, 柜__, 五斗__, 壁__
挣	__扎, __钱, __脱, __开
急	紧__, __忙, 着__, __需
货	期__, 通__膨胀, __币, 售__员
亦	__可, 不__乐乎, 人云__云, __代
讨	__论, 探__, __厌, __价还价
吭	一声不__, __声, 引__高歌
銮	阿__
笳	胡__
鲲	__鱼
堵	__塞, __截, __住
借	__助, __鉴, __口, __着
蔷	__薇
船	__上, __只, __长, 轮__
肺	__泡, __病, 感人__腑, __结核
秋	__仪, __白, __天, 春__
椿	红__寺
千	__万, 一__, __瓦, 数__
媾	交__, __合
酷	残__, 冷__, __爱, 严__
细	__胞, 仔__, 详__, __菌
婉	__仪, __贞, __转, 委__
磊	光明__落
稣	__油花, 耶__, 耶__教
蹑	__手__脚
运	__动, __用, __行, 命__
盖	覆__, 掩__, __子, 覆__率
牙	__齿, 匈__利, 磨__, 乳__
变	__化, 改__, __成, __形
僚	官__, 官__主义
袒	__露, __护
祟	作__, __光
竞	__争, __赛, __相, __争力
柠	__檬, __檬汁, __檬酸
荣	繁__, 光__, __誉, __桓
铺	店__, __子, 当__, 卧__票
赧	羞__
滦	__平
辄	动__
诨	__号
睫	__毛, 迫在眉__
垦	复__, 开__, 农__
酯	磷酸__
狮	__子, 雄__, __子口, __子吼
翰	约__, 从浩__, 圣约__, 宏__
扒	__窃, __开, ____头, __鸡
页	扉__, 画__, 篇__, 书__
敷	__衍, 入不__出, __料, __衍了事
芨	秘__
批	__准, __评, 审__, 大__
轻	年__, __松, 年__人, ____地
胺	几茶酚__
汽	__车, __油, __水, 小__车
西	东__, __方, __南, __藏
禁	不__, __止, __不住, 严__
砀	__山
待	等__, 对__, 期__, 接__
毗	__邻, 迦__罗卫国, __舍离, __近
喉	__咙, 咽__, 歌__, 咽__炎
合	结__, __理, 综__, __作
袋	脑__, 口__, 塑料__, 衣__
殍	饿__, 饿__遍野
亏	__损, 吃__, 幸__, 自负盈__
耐	__心, 不__烦, __人寻味, 忍__
枕	__头, 高__无忧, 同床共__, __头风
昔	__日, 往__, 今__, 今非__比
窗	__口, __户, __外, __台
外	另__, 此__, 国__, __交
嶙	__峋
尘	灰__, __土, __埃, 烟__
缚	束__, 作茧自__
欢	喜__, __迎, __乐, __喜
侥	__幸
两	__岸, __者, 一__, __边
斩	__断, __钉截铁, 先__后奏, 披荆__棘
萨	菩__, __满教, __马兰奇, __达姆
未	__来, 尚__, __成年人, __能
箭	一__双雕, __头, __步, 响__
纯	单__, __粹, 单__词, __净
崮	孟良__
雹	冰__
咳	__嗽, 百日__
阴	__影, __谋, __阳, __暗
褶	皱__, 七皱八__
永	__远, __江, __恒, __济
伺	__候, __机
莽	草__英雄, __撞, __汉, 鲁__
璋	阿__
放	开__, __在, 解__, __心
私	__营, __人, 无__奉献, __下
础	基__, 基__理论, 基__科学, 经济基__
魂	灵__, 鬼__, 亡__, 冤__
必	__须, __要, __然, 不__
幄	运筹帷__
勇	__气, __敢, __于, 义__军
兆	__熊, 预__, __勤, 征__
呈	__现, 纷__, __示, 色彩纷__
棋	围__, 下__, __子, 星罗__布
坊	街__, 和合__, 翠云__, 作__
母	__亲, 父__, 外祖__, 字__
济	经__, 商品经__, 国民经__, 经__效益
懑	愤__
恐	__怕, __惧, __怖, 唯__
蓓	__佳
荒	__山, __原, __唐, __地
虔	__诚
祖	__国, __先, 外__母, __父
滥	泛__, __用, __发, __杀
烛	蜡__, __光, 风__残年, __台
罚	处__, 惩__, 体__, 判__
嘻	笑____, ____哈哈, __皮笑脸
盟	联__, 安__, __军, __国
泣	抽__, 哭__, 饮__, 如__如诉
止	防__, 停__, 为__, 禁__
迥	__然不同
早	__已, __就, __晨, __上
士	战__, 女__, 人__, 博__
马	__上, __克思, __路, __克思主义
黯	__淡, __然, __然失色, __然神伤
絮	棉__, ____叨叨, __状
灰	__色, __尘, __暗, 草木__
韵	叠__, 神__, 音__, __律
淹	__没, __死
揽	一__子, 招__, __工, __活
扼	__住, __杀, __死, __要
替	代__, __代, 接__, __换
蕾	花__, 味__, 芭__, 芭__舞
礁	暗__, __石
颀	__长
噪	__音, __声, 聒__, 鼓__
缅	__甸, __怀
庄	村__, __严, __重, 端__
切	一__, 密__, __实, 亲__
唉	__声叹气
针	方__, __对, __对性, 指__
栋	明__, 纪__, __梁之材, 家__
踏	__上, __入, __实, 践__
涎	垂__欲滴, __沫
脑	电__, 头__, 首__, __子
熙	康__, ____攘攘, 明__, __来攘往
谴	__责, 派__
排	安__, __除, __列, __放
蜕	__变
稗	__官野史
首	__先, __脑, __相, __都
粘	__贴, __膜, __性, __液
瀛	登__, 东__
羚	__羊, __羊角
猝	__死, __然, __不及防
琼	__瑶, __岛, __斯
队	部__, __伍, 军__, 连__
褡	__裢
谣	__传, __言, 民__, 造__
订	制__, 签__, __单, 拟__
交	__易, __流, __通, __谈
腰	__部, 弯__, 拦__, __包
枪	手__, __声, 开__, 刀__
鸯	鸳__
鄱	__阳湖
捉	__拿, 捕__, __住, __拿归案
琳	__琅满目
割	切__, 分__, 不可分__, __断
眵	__目糊
费	消__, __用, 经__, 消__者
沸	__腾, ____扬扬, __石, 煮__
总	__是, __体, __理, __统
挽	__救, __回, __留, 力__狂澜
押	关__, 抵__, __送, __解
祁	__东县, __县, __连, __连山
寂	__寞, 孤__, __静, 沉__
组	__织, __成, __织部, __合
片	照__, __刻, 影__, __段
准	标__, __备, 批__, 标__化
哈	____大笑, __尔滨, 齐齐__尔, __萨克
麸	麦__
傣	__族, __文
乏	缺__, 不__, __味, 匮__
腑	脏__, 感人肺__, 肺__
插	__花, __入, __销, __话
穗	稻__, 谷__, 剑__, 吐__
遛	__弯
痞	文__, 兵__, __子
睑	眼__
询	__问, 咨__, 咨__台, 查__
令	__人, 口__, 指__, 命__
执	__行, __法, __政, __着
懦	马迪__, 怯__, __夫, __弱
填	__写, __补, 义愤__膺, __充
差	__异, __别, __距, __不多
共	__同, __产党, 中华人民__和国, 中__
味	意__, 实__, 滋__, __道
史	历__, __料, __学, __记
直	一__, __接, __到, 简__
腕	手__, 大__, __力, 脚__子
恻	__然, __隐之心, 悱__
俺	__们
荽	芜__
拼	__命, __搏, __音, 汉语__音
颁	__布, __发
弄	__清, __堂, 嘲__, 摆__
率	效__, 利__, 劳动生产__, __领
逆	叛__, __转, __反心理, __光
钉	__子, 斩__截铁, 图__, 拉菲__艾哈迈德
锈	不__钢, 铁__, 生__
侏	__儒
谎	__言, 扯__, 撒__, __话
脐	肚__, __橙
斓	斑斑____, 斑__, 色彩斑__
舒	__适, __服, __畅, __展
蚕	春__, 家__, __茧, __豆
朔	扑__迷离, __风, __北
宗	__教, __旨, __二爷, 学__
砖	瓷__, __头, 红__, 火__
军	__事, 将__, __队, 红__
帚	扫__, 扫__星, 条__
劝	__说, __告, __导, __慰
猜	__想, __测, __疑, __忌
径	途__, __流, __直, 直__
趣	兴__, 感兴__, 有__, __味性
亥	辛__革命, 那那__村, __猪, __豕
伤	__心, __害, 受__, 损__
控	__制, 调__, __股, 失__
耦	__合
撩	__开, __拨
第	__一, __二, __三, __四
瓜	黄__, 南__, 西__, 傻__
焰	火__, 光__, 嚣张气__, 烈__
喳	__口
殷	__勤, __红, __墟, 献__勤
油	石__, __田, 原__, __污
贸	__易, 经__, 外__, 关__
为	因__, __了, 认__, 作__
抽	__样, __象, __出, __样调查
茼	__蒿
磁	__通, __滞, 励__, __路
祀	祭__
醚	聚烷撑__
绅	__士, 乡__, 士__, 富__
孵	__化
哉	劲__, 悠__, 悠__游__
歌	唱__, __星, __迷, __曲
俏	紧__, __丽, 俊__, __皮
惑	困__, 疑__, 诱__, 惶__
腐	__败, 豆__, __朽, 豆__脑
翘	__首, 连__
婶	__子, __姆, 老__
伏	起__, 潜__, __羲, __案
糙	粗__, 毛__
奥	__运会, __委会, __秘, 戈里__
凛	__冽, __然, 威风____
卜	萝__, 胡萝__素, 占__, 红萝__
域	领__, 区__, 海__, 地__
瑞	__卿, __士, __娟, 绮__娜
楠	子__, 茄__香
以	可__, 所__, __后, __及
羽	__衣, __毛, 化__, __毛球
韦	兹__尼哥罗镇, 津巴布__, __丛芜, __国
竭	__力, 枯__, 耗__, 尽心__力
搓	__洗, 揉__, ____手, __澡
兰	伊斯__教, 小__, __考, 古__经
牲	牺__, __畜, __口, __口棚
囵	囫__
靴	__子, 皮__
请	申__, 邀__, __求, __示
桶	马__, 粪__, 水__, 油__
浸	__泡, 沉__, __透, __入
臻	荣__
荼	如火如__
柿	西红__, __子, __霜, __饼
码	编__, __头, 起__, 代__
禀	__报, 启__, __告, __奏
骂	打__, 怒__, 唾__, 痛__
帅	元__, 大元__, 挂__, 统__
龄	年__, 工__, 庆__, 高__
琉	__璃, __球, __璃厂, __影
