#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
本	日__, 基__, 根__, __身
沱	滂__
阉	__割
痒	痛__, 发__, 无关痛__
串	一连__, __通, __门, 烤羊肉__
琶	琵__, 琵__行
点	一__, 重__, 特__, 有__
刺	__激, __客, 讽__, __伤
纽	__约, __带, 枢__, 水利枢__
弼	__时
宿	__舍, 住__, 归__, __主
砾	砂__, __石
臃	__肿
担	__心, 承__, __任, 负__
过	通__, __程, __去, 经__
豆	__子, __芽, 黄__, __腐
棉	__花, __铃虫, __衣, __袄
雍	__正, 布库哩__顺, __容华贵
龈	牙__, 齿__
偎	__依, 依__
姓	__名, 老百__, 百__, __氏
答	回__, __应, __案, __道
踊	__跃
跛	__脚, __子
潜	__力, __在, __意识, __能
霆	雷__, 巨__
院	医__, 国务__, 学__, 中青__
卤	__肉, __鸡
忧	__郁, __虑, 担__, __伤
票	股__, 邮__, 售__, 售__员
婪	贪__
泱	____大国
走	__进, __向, __过, __路
蹲	吃饱__, __点
瑶	索__, 琼__, __胞, __族
烹	__调, __饪, __调法
典	__型, 经__, 古__, 字__
牺	__牲, __牲品
绽	破__, __出
彼	__此, __岸, 圣__得堂, __时
寿	谷__夫, __命, 长__, __衣
顾	__客, 照__, 不__, 回__
搁	耽__, __置
暂	__时, __行, 短__, __停
舅	__妈, __母, __父, __爷
氢	__气, __弹, __氟酸
沆	__瀣一气
栉	鳞次__比, __风淋雨
榈	棕__树, 棕__泉
锋	先__, 笔__, 英__, __利
瞌	打__睡, __睡
炎	肝__, 关节__, 世__, __夏
少	不__, 多__, 减__, __女
麒	__麟
箔	金__, __纸
朗	密特__, 开__, 明__, 豁然开__
耙	倒打一__
洛	科__科__夫, __阳, 捷克斯__伐克, 巴__克
抚	__摸, __养, __恤, __慰
丝	__毫, __绸, 蛛__马迹, __绸之路
遵	__循, __守, __义, __照
卅	五__运动
弧	__形, 圆__, __度, __线
妨	不__, __碍, 无__
蔫	萎__
昭	__示, __雪, 军__, __星
振	__兴, __奋, __军, __兴中华
膜	粘__, 隔__, 农__, 瓣__
