original_word	pinyin	english	freq_per_mil	count_in_corpus
临时	lín shí	at the instant sth happens/temporary/interim/ad hoc	35.0	4
愤怒	fèn nù	angry/indignant/wrath/ire	34.0	4
陆	Lù; liù; lù	surname Lu; six (banker's anti-fraud numeral); shore/land/continent	24.0	4
日常	rì cháng	daily/everyday	24.0	4
宪法	xiàn fǎ	constitution (of a country)/CL:部[bu4]	24.0	4
阻止	zǔ zhǐ	to prevent/to block	24.0	4
法庭	fǎ tíng	court of law	19.0	4
占领	zhàn lǐng	to occupy (a territory)/to hold	19.0	4
华盛顿	Huá shèng dùn	Washington (name)/George Washington (1732-1799), first US president/Washington, US State/Washington, D.C. (US federal capital)	19.0	4
逮捕	dài bǔ	to arrest/to apprehend/an arrest	16.0	4
立法	lì fǎ	to enact laws/to legislate/legislation	15.0	4
此前	cǐ qián	before this/before then/previously	14.0	4
迫使	pò shǐ	to force/to compel	9.6	4
硕士生	shuò shì shēng	Master's degree student	3.7	4
港人	Gǎng rén	Hong Kong person or people	3.5	4
娥	é	good/beautiful	3.2	4
大校	dà xiào	senior ranking officer in Chinese army/senior colonel	2.1	4
受访者	shòu fǎng zhě	participant in a survey/an interviewee/those questioned	2.1	4
克拉克	Kè lā kè	Clark or Clarke (name)	1.9	4
港府	Gǎng fǔ	Hong Kong government	1.6	4
理工大学	lǐ gōng dà xué	University of Science and Engineering/also sometimes Institute of Technology	1.4	4
一点	yī diǎn	a bit/a little/one dot/one point	1.2	4
名为	míng wéi	to be called/to be known as	0	4
防暴警察	fáng bào jǐng chá	riot police/riot squad	0	4
不一样	bù yī yàng	different/distinctive/unlike	0	4
几位	jǐ wèi	several people (honorific)/Ladies and Gentlemen!	0	4
那种	nà zhǒng	that/that kind of/that sort of/that type of	0	4
尤其是	yóu qí shì	especially/most of all/above all/in particular	0	4
想要	xiǎng yào	to want to/to feel like/to fancy/to care for sb/desirous of	0	4
一家	yī jiā	the whole family/the same family/the family... (when preceded by a family name)/group	0	4
有人	yǒu rén	someone/people/anyone/there is someone there/occupied (as in restroom)	312.0	3
企业	qǐ yè	company/firm/enterprise/corporation/CL:家[jia1]	307.0	3
上海	Shàng hǎi	Shanghai municipality, central east China, abbr. to 滬|沪[Hu4]	300.0	3
必须	bì xū	to have to/must/compulsory/necessarily	298.0	3
管理	guǎn lǐ	to supervise/to manage/to administer/management/administration/CL:個|个[ge4]	283.0	3
突然	tū rán	sudden/abrupt/unexpected	282.0	3
间	jiān; jiàn	between/among/within a definite time or space/room/section of a room or lateral space between two pairs of pillars/classifier for rooms; gap/to separate/to thin out (seedlings)/to sow discontent	281.0	3
因	yīn	cause/reason/because	280.0	3
进	jìn	to advance/to enter/to come (or go) into/to receive or admit/to eat or drink/to submit or present/(used after a verb) into, in/to score a goal	278.0	3
能够	néng gòu	to be capable of/to be able to/can	266.0	3
每天	měi tiān	every day/everyday	261.0	3
只要	zhǐ yào	if only/so long as	261.0	3
以前	yǐ qián	before/formerly/previous/ago	254.0	3
决定	jué dìng	to decide (to do something)/to resolve/decision/CL:個|个[ge4],項|项[xiang4]/certainly	252.0	3
